StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Coder_ID,Post_ID,Attribution_Presence,Attribution_Number,AttributionType_1,SenderAccountMatch_1,Evaluation_1,PresenceIndividual_1,SpecificIndividual_1,PresenceCollective_1,SpecificCollective_1,PresenceSystems_1,SpecificSystem_1,PresenceNetwork_1,SpecificNetworks_1,Economy_1,SocialPolicies_1,PoliticsHumanRight_1,ExternalRelations_1,PastTense_1,PresentTense_1,FutureTense_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder ID,Please insert the post ID [type a whole number],Does the post include any responsibility attributions?,Which responsibility attribution are you coding for in this post?,Which type of responsibility attribution is it?,Is the person who is affirming/negating causal responsibility Donal J. Trump?,How does the sender evaluate this affirmed/negated causal responsibility?,Does the post attribute responsibility to a named individual?,Whom does the post attribute responsibility to?,Does the post attribute responsibility to a collective or corporate actor?,Which collective or corporate actor does the post attribute responsibility to?,"Does the post attribute responsibility to a system, ideology, or belief system?","Which system, ideology, or belief system does the post attribute responsibility to?",Does the post attribute responsibility to a network structure?,Which network structure does the post attribute responsibility to?,Does the responsibility attribution concern economic topics?,Does the responsibility attribution concern social policy and welfare topics?,Does the responsibility attribution concern political and human rights topics?,Does the responsibility attribution concern external relations topics?,Does the responsibility attribution concern an outcome in the past?,Does the responsibility attribution concern a contemporary outcome?,Does the responsibility attribution concern an outcome in the future?
"{""ImportId"":""startDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Bangui""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID72""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID12""}"
2025-04-23 17:15:03,2025-04-23 17:20:09,IP Address,146.50.154.101,100,305,True,2025-04-23 17:20:09,R_3TsQgJifyTlhdD3,,,,,52.3521,4.9138,anonymous,EN,Luke,1,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,"China ",,,,,No,No,Yes,,No,Yes,
2025-04-23 17:20:11,2025-04-23 17:23:10,IP Address,146.50.154.101,100,178,True,2025-04-23 17:23:10,R_9mITA3whfqcZwjg,,,,,52.3521,4.9138,anonymous,EN,Luke,2,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,Other Political/Ideological Groups,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:23:27,2025-04-23 17:25:55,IP Address,146.50.154.101,100,147,True,2025-04-23 17:25:56,R_9kNhGePnqPx2YiT,,,,,52.3521,4.9138,anonymous,EN,Luke,3,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"Other Non-Governing/Non-Political Organizations (private/public enterprise, non-profits, ",,,,,No,No,Yes,,Yes,,
2025-04-23 17:16:22,2025-04-23 17:28:35,IP Address,146.50.210.210,100,732,True,2025-04-23 17:28:35,R_3rMlcngxeOETg7n,,,,,52.3541,4.8975,anonymous,EN,Francesco,1,Yes,First,Affirmed causal responsibility,Yes,Neutrally,,,,,,,,,,,,,,,
2025-04-23 17:26:02,2025-04-23 17:28:43,IP Address,146.50.154.101,100,161,True,2025-04-23 17:28:43,R_2drVsvfu3Dr1lIY,,,,,52.3521,4.9138,anonymous,EN,Luke,4,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Other Individuals,,,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:28:45,2025-04-23 17:30:53,IP Address,146.50.154.101,100,127,True,2025-04-23 17:30:53,R_69JdWjpEASaksRb,,,,,52.3521,4.9138,anonymous,EN,Luke,5,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 17:30:55,2025-04-23 17:32:01,IP Address,146.50.154.101,100,65,True,2025-04-23 17:32:01,R_2OHaOdE9OBEFhcS,,,,,52.3521,4.9138,anonymous,EN,Luke,5,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,No,No,,,
2025-04-23 17:32:04,2025-04-23 17:33:57,IP Address,146.50.154.101,100,112,True,2025-04-23 17:33:57,R_2nK1wfjzcmsPslz,,,,,52.3521,4.9138,anonymous,EN,Luke,6,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,Yes,The Trump-Administration,,,,,Yes,,,,No,No,Yes
2025-04-23 17:17:30,2025-04-23 17:35:50,IP Address,89.98.163.147,100,1100,True,2025-04-23 17:35:51,R_3iEfCtFWqSwNhFD,,,,,52.3672,4.918,anonymous,EN,Ada,1,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"China ",,,,,No,No,Yes,,No,No,Yes
2025-04-23 17:33:59,2025-04-23 17:36:56,IP Address,146.50.154.101,100,176,True,2025-04-23 17:36:57,R_4VpzZrPyzvCDxnu,,,,,52.3521,4.9138,anonymous,EN,Luke,7,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,No,,No,,Yes,Trade War,No,No,No,Yes,No,Yes,
2025-04-23 17:37:05,2025-04-23 17:40:11,IP Address,146.50.154.101,100,185,True,2025-04-23 17:40:12,R_2OJ0miq01LpRNXf,,,,,52.3521,4.9138,anonymous,EN,Luke,8,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Other Political/Ideological Groups,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:40:13,2025-04-23 17:40:57,IP Address,146.50.154.101,100,43,True,2025-04-23 17:40:58,R_4MZiEs4wNDHgWCZ,,,,,52.3521,4.9138,anonymous,EN,Luke,8,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,No,,No,,No,,,,,,,,
2025-04-23 17:41:00,2025-04-23 17:43:25,IP Address,146.50.154.101,100,145,True,2025-04-23 17:43:25,R_7kRAeOM10YVG69p,,,,,52.3521,4.9138,anonymous,EN,Luke,9,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,No,,Yes,"Laws/Treaties/Agreements/Policies (e.g., NAFTA, NATO, Medicare, Medicaid)",,,Yes,,,,No,No,Yes
2025-04-23 17:43:28,2025-04-23 17:45:11,IP Address,146.50.154.101,100,103,True,2025-04-23 17:45:12,R_5ft1IT5GafGeTER,,,,,52.3521,4.9138,anonymous,EN,Luke,9,Yes,Second,Affirmed causal responsibility,Yes,Positively,No,,Yes,The Trump-Administration,,,,,Yes,,,,No,Yes,
2025-04-23 17:45:14,2025-04-23 17:46:26,IP Address,146.50.154.101,100,71,True,2025-04-23 17:46:26,R_2tHUg9I33uHSMSZ,,,,,52.3521,4.9138,anonymous,EN,Luke,9,Yes,Third,Affirmed causal responsibility,Yes,Positively,No,,Yes,Other Countries/Country Unions,,,,,Yes,,,,No,No,Yes
2025-04-23 17:35:53,2025-04-23 17:47:47,IP Address,89.98.163.147,100,714,True,2025-04-23 17:47:47,R_2JJCuza1jdYJdOJ,,,,,52.3672,4.918,anonymous,EN,Ada,1,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"China ",,,,,No,Yes,,,No,Yes,
2025-04-23 17:46:28,2025-04-23 17:48:20,IP Address,146.50.154.101,100,112,True,2025-04-23 17:48:21,R_7loeoHhUpPAcgHb,,,,,52.3521,4.9138,anonymous,EN,Luke,10,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:28:37,2025-04-23 17:49:40,IP Address,146.50.210.210,100,1262,True,2025-04-23 17:49:40,R_2LkeCHD4naP37vD,,,,,52.3541,4.8975,anonymous,EN,Francesco,2,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,Other Collectives,,,,,No,No,Yes,,Yes,,
2025-04-23 17:48:29,2025-04-23 17:50:08,IP Address,146.50.154.101,100,99,True,2025-04-23 17:50:09,R_4I9O3tgQr4BTHW6,,,,,52.3521,4.9138,anonymous,EN,Luke,11,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:50:10,2025-04-23 17:51:40,IP Address,146.50.154.101,100,89,True,2025-04-23 17:51:42,R_4Qh0jLuKtSvdAoT,,,,,52.3521,4.9138,anonymous,EN,Luke,11,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,Yes,
2025-04-23 17:47:50,2025-04-23 17:53:43,IP Address,89.98.163.147,100,353,True,2025-04-23 17:53:44,R_3ZJgqU2fWXIUIkR,,,,,52.3672,4.918,anonymous,EN,Ada,2,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,Other Collectives,,,,,No,No,No,No,,,
2025-04-23 17:51:44,2025-04-23 17:53:51,IP Address,146.50.154.101,100,127,True,2025-04-23 17:53:52,R_4Ia5S7shbXbtC2k,,,,,52.3521,4.9138,anonymous,EN,Luke,12,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,No,,Yes,"Laws/Treaties/Agreements/Policies (e.g., NAFTA, NATO, Medicare, Medicaid)",,,No,No,Yes,,No,No,Yes
2025-04-23 17:53:53,2025-04-23 17:55:40,IP Address,146.50.154.101,100,106,True,2025-04-23 17:55:40,R_4oNmtoN1QiLBQE9,,,,,52.3521,4.9138,anonymous,EN,Luke,12,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 17:53:45,2025-04-23 17:57:14,IP Address,89.98.163.147,100,208,True,2025-04-23 17:57:14,R_5IrtiY3GNHEd0iZ,,,,,52.3672,4.918,anonymous,EN,Ada,3,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"Other Non-Governing/Non-Political Organizations (private/public enterprise, non-profits, ",,,,,No,No,No,No,,,
2025-04-23 17:55:42,2025-04-23 17:57:51,IP Address,146.50.154.101,100,129,True,2025-04-23 17:57:52,R_4i7t91mIYzo0Onn,,,,,52.3521,4.9138,anonymous,EN,Luke,13,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,Yes,The Trump-Administration,,,,,No,No,No,Yes,No,No,Yes
2025-04-23 17:49:41,2025-04-23 17:58:37,IP Address,146.50.210.210,100,536,True,2025-04-23 17:58:38,R_3How7T8nLKX6wMb,,,,,52.3541,4.8975,anonymous,EN,Francesco,3,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"Other Non-Governing/Non-Political Organizations (private/public enterprise, non-profits, ",,,,,No,No,Yes,,Yes,,
2025-04-23 17:58:15,2025-04-23 17:59:54,IP Address,146.50.154.101,100,98,True,2025-04-23 17:59:55,R_51baK1QwTVJ71Em,,,,,52.3521,4.9138,anonymous,EN,Luke,14,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Donald Trump,,,,,,,Yes,,,,No,No,Yes
2025-04-23 17:57:15,2025-04-23 18:01:09,IP Address,89.98.163.147,100,233,True,2025-04-23 18:01:09,R_2dcTAtpmhss5ZKe,,,,,52.3672,4.918,anonymous,EN,Ada,4,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Other Individuals,,,,,,,Yes,,,,No,Yes,
2025-04-23 17:59:56,2025-04-23 18:02:23,IP Address,146.50.154.101,100,146,True,2025-04-23 18:02:24,R_6xKwwD5Mhk4zY54,,,,,52.3521,4.9138,anonymous,EN,Luke,14,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,No,,Yes,"Laws/Treaties/Agreements/Policies (e.g., NAFTA, NATO, Medicare, Medicaid)",,,Yes,,,,No,Yes,
2025-04-23 18:01:11,2025-04-23 18:03:33,IP Address,89.98.163.147,100,141,True,2025-04-23 18:03:33,R_6rGScWwcGdmemXv,,,,,52.3672,4.918,anonymous,EN,Ada,5,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,No,Yes,No,Yes,
2025-04-23 17:58:39,2025-04-23 18:03:59,IP Address,146.50.210.210,100,319,True,2025-04-23 18:03:59,R_2ubn9sTstirAPG9,,,,,52.3541,4.8975,anonymous,EN,Francesco,4,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Other Individuals,,,,,,,Yes,,,,No,Yes,
2025-04-23 18:02:25,2025-04-23 18:05:20,IP Address,146.50.154.101,100,174,True,2025-04-23 18:05:20,R_54CrTpBfalFEYkm,,,,,52.3521,4.9138,anonymous,EN,Luke,15,Yes,First,Affirmed causal responsibility,Yes,Positively,Yes,Donald Trump,,,,,,,No,No,No,Yes,No,Yes,
2025-04-23 18:03:35,2025-04-23 18:05:51,IP Address,89.98.163.147,100,136,True,2025-04-23 18:05:52,R_2e95z7O6n2PrzpR,,,,,52.3672,4.918,anonymous,EN,Ada,5,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 18:05:22,2025-04-23 18:07:33,IP Address,146.50.154.101,100,130,True,2025-04-23 18:07:33,R_78J1dHgKhULHPnT,,,,,52.3521,4.9138,anonymous,EN,Luke,16,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,"Media ",,,,,No,No,No,No,,,
2025-04-23 18:05:52,2025-04-23 18:08:12,IP Address,89.98.163.147,100,139,True,2025-04-23 18:08:12,R_7waddwIIIyEfEpo,,,,,52.3672,4.918,anonymous,EN,Ada,5,Yes,Third,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 18:07:36,2025-04-23 18:08:50,IP Address,146.50.154.101,100,74,True,2025-04-23 18:08:51,R_2DyzOcUHI7xP1mx,,,,,52.3521,4.9138,anonymous,EN,Luke,17,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,Yes,,,,No,No,Yes
2025-04-23 18:08:13,2025-04-23 18:09:49,IP Address,89.98.163.147,100,96,True,2025-04-23 18:09:50,R_2eOzu3J9aZAJwR3,,,,,52.3672,4.918,anonymous,EN,Ada,6,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,Yes,USA,,,,,Yes,,,,No,No,Yes
2025-04-23 18:09:02,2025-04-23 18:10:44,IP Address,146.50.154.101,100,101,True,2025-04-23 18:10:44,R_2CKhEh8YTOcGlue,,,,,52.3521,4.9138,anonymous,EN,Luke,18,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Other Political/Ideological Groups,,,,,No,No,Yes,,No,Yes,
2025-04-23 18:04:00,2025-04-23 18:10:46,IP Address,146.50.210.210,100,406,True,2025-04-23 18:10:47,R_6megQZC3KXqipSA,,,,,52.3541,4.8975,anonymous,EN,Francesco,5,Yes,First,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,No,Yes
2025-04-23 18:09:51,2025-04-23 18:12:18,IP Address,89.98.163.147,100,147,True,2025-04-23 18:12:19,R_7fjJFTmqsJRQyTw,,,,,52.3672,4.918,anonymous,EN,Ada,7,Yes,First,Affirmed causal responsibility,Yes,Neutrally,,,,,,,,,,,,,,,
2025-04-23 18:11:01,2025-04-23 18:13:08,IP Address,146.50.210.210,100,126,True,2025-04-23 18:13:08,R_2Qy131GmFmdgVE9,,,,,52.3541,4.8975,anonymous,EN,Francesco,5,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,Yes,
2025-04-23 18:10:47,2025-04-23 18:13:39,IP Address,146.50.154.101,100,171,True,2025-04-23 18:13:40,R_2w5JnTUbkXOwD0K,,,,,52.3521,4.9138,anonymous,EN,Luke,18,Yes,Second,Affirmed causal responsibility,Yes,Negatively,No,,No,,Yes,"Other Systems, Ideologies, and Belief Systems",,,No,No,Yes,,Yes,,
2025-04-23 18:12:21,2025-04-23 18:13:55,IP Address,89.98.163.147,100,94,True,2025-04-23 18:13:56,R_6Dx9L1ionkmbN6e,,,,,52.3672,4.918,anonymous,EN,Ada,8,Yes,First,Affirmed causal responsibility,Yes,Neutrally,,,,,,,,,,,,,,,
2025-04-23 18:13:42,2025-04-23 18:14:55,IP Address,146.50.154.101,100,73,True,2025-04-23 18:14:56,R_1GrTfz4s6KQnhx7,,,,,52.3521,4.9138,anonymous,EN,Luke,19,Yes,First,Affirmed causal responsibility,No,Negatively,No,,Yes,Progressive: Democrats/Liberals/Left-wing ideologists,,,,,No,No,Yes,,No,Yes,
2025-04-23 18:13:56,2025-04-23 18:15:12,IP Address,89.98.163.147,100,75,True,2025-04-23 18:15:12,R_70Mc4xN5LegqRMo,,,,,52.3672,4.918,anonymous,EN,Ada,8,Yes,Second,Negated causal responsibility,Yes,Neutrally,,,,,,,,,,,,,,,
2025-04-23 18:14:58,2025-04-23 18:17:09,IP Address,146.50.154.101,100,131,True,2025-04-23 18:17:10,R_34IR1diWwA9ZvYN,,,,,52.3521,4.9138,anonymous,EN,Luke,20,Yes,First,Affirmed causal responsibility,Yes,Negatively,Yes,Other Individual Democratic Politicians,,,,,,,No,No,Yes,,No,Yes,
2025-04-23 18:15:16,2025-04-23 18:17:24,IP Address,89.98.163.147,100,128,True,2025-04-23 18:17:24,R_3q9IE3c2qahSdsI,,,,,52.3672,4.918,anonymous,EN,Ada,9,Yes,First,Affirmed causal responsibility,Yes,Positively,No,,No,,No,,No,,,,,,,,
2025-04-23 18:17:33,2025-04-23 18:18:47,IP Address,89.98.163.147,100,74,True,2025-04-23 18:18:47,R_2WTHoWZchbVc74f,,,,,52.3672,4.918,anonymous,EN,Ada,9,Yes,Second,Affirmed causal responsibility,Yes,Positively,No,,Yes,USA,,,,,Yes,,,,No,No,Yes
2025-04-23 18:18:49,2025-04-23 18:20:15,IP Address,89.98.163.147,100,85,True,2025-04-23 18:20:15,R_31cog31G5t5GK9x,,,,,52.3672,4.918,anonymous,EN,Ada,9,Yes,Third,Affirmed causal responsibility,Yes,Negatively,No,,Yes,Other Countries/Country Unions,,,,,Yes,,,,No,No,Yes
